U.S. Imports by Country of Origin
https://www.eia.gov/dnav/pet/pet_move_impcus_a2_nus_epc0_im0_mbblpd_a.htm
18:08:20 GMT+0100 (czas &#347;rodkowoeuropejski standardowy)
Data source: U.S. Energy Information Administration
Series Link,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=ESM_EPC0_IM0_NUS-NSS_MBBLD&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMGB2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMIT2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMIZ2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMLY2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMMY2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMNA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMQA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAG2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAO2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAR2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSAS2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSBR2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSBX2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCF2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCG2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCH2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCM2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSCO2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSEC2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSEG2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSGT2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSID2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSKU2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSMX2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSNI2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSNL2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSNO2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSPE2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSRQ2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSA2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSN2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSP2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSW2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSSY2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSTC2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSTD2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSTH2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSUK2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSVE2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSVQ2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIMUSYE2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NAJ_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NAL_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBA_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBB_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBF_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBH_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBL_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBN_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NBO_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NCD_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NCI_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NDA_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NEK_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NEN_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGG_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGH_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGM_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGV_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NGY_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NIN_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NIR_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NIV_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NKG_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NKZ_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NMR_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NMU_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NNZ_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NPM_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NPP_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NRS_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NSF_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NTS_2&f=A,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRIM_NUS-NVM_2&f=A
2015,,10,1,229,3,0,,,3,124,18,10,190,,3169,9,,,,373,225,1,8,36,204,688,54,,9,6,,1052,,,,,2,7,,11,776,,,13,5,,,,1,,,,72,,,5,,,,,,,2,,,,,,,,,,38,,,9
2014,,16,,369,5,,,,6,139,29,2,145,,2882,4,,,,294,213,,7,20,309,781,58,1,9,9,,1159,,,,,13,5,6,10,733,,,23,1,,,,1,,,,61,,,4,,,,,,,,,,,,2,,,,,18,,,10
2013,,24,,341,43,,,,29,201,13,1,110,,2579,18,0,1,0,367,232,4,7,18,326,850,239,1,17,11,,1325,,,,,2,8,9,21,755,,,29,,,,,2,1,,,66,,,17,,,3,,,,,,,,,3,3,,,,42,,,13
2012,,42,1,476,56,,,,120,222,21,6,189,2,2425,29,0,1,31,403,177,31,11,6,303,975,406,,26,8,,1361,,,,,,27,20,18,912,,,24,,,,,3,3,,,28,,,41,,,0,,,,,,4,,,,9,,,,101,,,10
2011,,34,,459,9,,,5,178,335,28,9,232,,2225,53,11,2,36,397,203,4,9,20,191,1102,767,,53,11,,1186,,,,3,7,33,17,36,868,,6,36,,,,,3,6,,,49,,,19,,,8,,,,,,4,,7,,41,,,,223,,,10
2010,,47,,415,43,3,,,328,383,29,10,255,,1970,70,9,4,50,338,210,7,11,33,195,1152,983,,25,14,,1082,,,,,2,45,13,120,912,,,55,,,,,2,7,,,18,,,50,,,,,,,,,9,,18,2,12,,,,269,,,12
2009,,63,,449,61,7,,8,281,448,53,11,295,,1943,64,9,8,38,251,181,9,12,15,180,1092,776,,58,16,,980,,,,1,39,40,20,103,951,,,75,,,,,2,8,,,65,,,89,,,,,,,,,3,,17,3,30,,,,230,1,,27
2008,,58,,627,68,2,,,312,504,29,33,231,1,1956,67,,11,10,178,214,7,15,16,206,1187,922,,30,10,,1503,,,,,4,23,14,78,1039,,,73,,,,,3,3,,,102,,,74,,,,,,,,,2,,3,3,17,2,,,116,,2,29
2007,,63,,484,84,1,,,443,498,33,2,165,11,1888,63,1,6,26,137,198,1,11,15,175,1409,1084,,56,5,,1447,,,,2,9,48,14,101,1148,,13,57,,,,,1,3,,,77,,,55,,,,,,,,,0,,9,3,32,,,,112,7,6,31
2006,,60,,553,66,7,,1,362,513,29,5,133,17,1802,27,,19,2,141,272,0,15,16,179,1577,1037,,98,4,,1423,1,,,5,5,67,7,130,1142,,20,27,,,,,1,2,,2,95,,,57,,,,,,,,,4,,4,3,35,,,,108,3,1,42
2005,,127,,527,44,10,,,228,456,56,10,94,14,1633,25,2,24,3,156,276,4,11,19,227,1556,1077,,119,4,,1445,1,,,,9,64,2,224,1241,,12,,,,,,,1,,,74,,,68,,,,,,,,,20,,12,,22,,,,199,,,31
2004,,142,,655,18,18,0,4,215,306,59,21,51,15,1616,8,14,14,18,142,232,,18,34,241,1598,1078,0,143,1,,1495,,,,1,5,49,1,238,1297,,4,,,,,,,1,,,57,,2,66,,,,0,,,,,5,,9,,10,,,,158,,,25
2003,,131,,481,,21,,0,112,363,54,27,50,28,1549,27,2,13,12,166,139,,22,26,208,1569,832,,181,8,,1726,,,,5,10,67,2,359,1183,,5,,,,,,,,,,3,,10,59,,,,,1,,,,4,,,,35,,,2,151,,,25
2002,,143,,459,,9,,9,30,321,70,51,58,10,1445,23,3,20,12,235,100,,23,50,216,1500,589,,348,10,,1519,,,,2,10,68,2,405,1201,,27,0,,,,,,,,,,,3,39,,,,,1,,,,4,,,,17,,,4,85,,,20
2001,,140,,795,0,15,,0,11,321,58,34,13,22,1356,40,1,13,3,260,113,,18,40,237,1394,842,,281,7,,1611,,,,0,21,51,5,244,1291,,24,,,0,,0,,,,,,1,,15,,,,,0,,,0,4,,,,20,,,2,0,,,26
2000,,143,,620,0,29,,0,1,295,53,49,5,21,1348,42,8,33,4,318,125,4,18,36,263,1313,875,1,302,4,,1523,,,1,0,3,56,3,291,1223,,27,,,0,,0,,,,,,1,7,6,,,,,0,,,0,1,,,,2,,,2,7,,,9
1999,,168,,725,0,21,,1,25,357,89,31,,46,1178,46,2,13,4,452,114,22,21,70,246,1254,623,,263,25,,1387,,,,2,0,40,1,284,1150,1,1,,,0,,0,,5,1,,,4,,1,3,3,,,0,,,0,1,,,,0,,,13,21,,,13
1998,,207,,336,0,26,,1,10,465,80,31,,23,1266,53,17,42,1,349,98,11,23,50,300,1321,689,,221,41,,1404,0,,,,3,53,0,161,1377,,4,1,,0,,0,,3,0,,,0,,2,,,,,6,,,0,,,,,0,1,,1,9,,,19
1997,,230,0,89,0,8,0,0,6,425,69,31,0,,1198,47,21,48,0,270,114,36,17,51,253,1360,689,0,288,31,0,1293,,,,,0,56,0,169,1394,0,0,,,0,,0,,1,1,,,9,1,5,,,,,1,,,0,,,,,4,,,4,3,,,4
1996,,184,0,1,0,6,0,0,8,344,45,25,0,,1075,33,15,57,2,226,96,38,12,44,235,1207,595,0,293,28,0,1248,,1,,,3,58,2,216,1303,0,0,,,0,,0,,2,2,,,23,,5,,,,,,,,0,,2,,,35,,,9,18,,,14
1995,,229,0,0,0,6,0,0,27,360,44,16,0,,1040,20,14,53,2,207,96,32,8,64,213,1027,621,0,258,21,0,1260,1,1,,,5,62,1,341,1151,0,4,,,0,,0,,1,1,,,5,,,,,,,,,,0,,,,,20,,,5,14,,,1
1994,,194,0,0,0,6,0,0,21,322,36,16,1,,983,28,14,64,4,146,91,48,,92,307,939,624,0,190,,0,1297,,,,3,11,62,9,396,1034,0,23,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,27,,,
1993,,151,0,0,0,10,0,0,24,336,12,18,0,,900,53,19,50,7,141,78,68,,65,344,863,722,0,137,,0,1282,1,,,17,12,55,6,312,1010,0,6,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,36,,,
1992,,,0,0,0,10,0,0,24,336,,17,0,,797,,,84,,102,0,,,70,39,787,665,0,119,,0,1597,,,,,0,70,,200,826,0,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,5,,,
1991,,,3,0,0,24,0,0,44,254,,21,0,,743,,,87,,123,0,,,102,6,759,683,0,74,,0,1703,,,,,2,72,,106,668,0,,,,0,,0,,,,,,,,,,,,,,,,32,,,,,,,,,1,,,
1990,,,2,514,0,40,0,4,63,236,,47,0,,643,,,77,,140,0,,,98,79,689,784,0,96,,0,1195,,,,,9,76,,155,666,0,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,
1989,,,3,441,0,39,0,2,60,279,,31,0,,630,,,76,,136,0,,,158,155,716,800,0,127,,0,1116,,,,,21,73,,160,495,0,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
1988,,,5,343,0,19,0,0,58,203,,59,0,,681,,,82,,106,0,,,186,80,674,607,0,62,,0,911,,,,,23,71,,254,439,0,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
1987,,,1,82,0,12,0,0,115,180,,49,0,,608,,,63,,115,0,,,262,70,602,529,0,70,,0,642,,,,,56,75,,304,488,0,,,,0,,0,,,,,,,,,,,,,,,,98,,,,,,,,,0,,,
1986,,,0,81,0,11,0,12,78,102,,30,0,,570,,,68,,57,0,,,297,28,621,437,0,53,,0,618,,,,,38,93,,317,416,0,,,,0,,0,,,,,,,,,,,,,,,,19,,,,,,,,,0,,,
1985,,,0,46,0,1,0,0,84,104,,21,0,,468,,,36,,0,0,,,292,4,715,280,0,31,,0,132,,,,,35,98,,278,306,0,,,,0,,0,,,,,,,,,,,,,,,,27,,,,,,,,,0,,,
1984,,,0,12,0,0,0,4,194,85,,25,0,,341,,,15,,0,0,,,304,24,659,207,3,112,,0,309,,,,,90,87,,378,253,0,,,,0,,0,,,,,,,,,,,,,,,,10,,,,,,,,,0,,,
1983,,,0,10,0,3,0,0,176,71,,0,2,,274,,,6,,0,0,,,315,7,766,301,3,65,,0,321,,,,,18,83,,365,164,0,,,,0,,0,,,,,,,,,,,,,,,,48,,,,,,,,,0,,,
1982,,,0,3,23,18,0,7,90,42,,0,19,,214,,,8,,0,0,,,226,2,645,510,0,102,,0,530,,,,,81,92,,441,155,0,,,,0,,0,,,,,,,,,,,,,,,,35,,,,,,,,,0,,,
1981,,,0,0,317,33,0,7,261,45,,0,14,,164,,,0,,0,0,,,318,0,469,611,0,114,,0,1112,,,,,77,102,,369,147,0,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,
1980,,,0,28,548,61,0,22,456,37,,0,1,,199,,,0,,0,0,,,314,27,507,841,0,144,,0,1250,,,,,172,115,,173,156,0,,,,0,,0,,,,,,,,,,,,,,,,8,,,,,,,,,0,,,
1979,,,0,88,642,52,0,31,608,39,,0,0,,271,,,13,,0,0,,,380,5,437,1069,7,75,,0,1347,,,,,281,123,,197,293,0,,,,0,,0,,,,,,,,,,,,,,,,297,,,,,,,,,0,,,
1978,,,0,62,638,37,0,64,634,6,,0,0,,248,,,0,,0,0,,,533,5,316,910,2,104,,0,1142,,,,,385,142,,169,181,0,,,,0,,0,,,,,,,,,,,,,,,,554,,,,,,,,,1,,,
1977,,,0,74,704,55,0,67,544,17,,0,0,,279,,,0,,0,0,,,507,42,177,1130,4,48,,0,1373,,,,,333,134,,97,250,0,,,,0,,0,,,,,,,,,,,,,,,,530,,,,,,,,,2,,,
1976,,,0,26,444,16,0,24,408,7,,0,0,,371,,,0,,6,0,,,537,1,87,1014,0,35,,0,1222,,,,,254,104,,13,241,0,,,,0,,0,,,,,,,,,,,,,,,,298,,,,,,,,,2,,,
1975,,,0,2,223,5,0,18,264,71,,0,0,,600,,,0,,0,0,,,379,4,70,746,4,12,,0,701,,,,,117,115,,0,395,0,,,,0,,0,,,,,,,,,,,,,,,,278,,,,,,,,,0,,,
1974,,,0,0,4,1,0,17,180,48,,0,0,,791,,,0,,0,0,,,284,5,2,697,0,1,,0,438,,,,,69,63,,0,319,0,,,,0,,0,,,,,,,,,,,,,,,,463,,,,,,,,,0,,,
1973,,,0,4,133,1,0,7,120,49,,0,0,,1001,,,0,,2,0,,,200,42,1,448,0,0,,0,462,,,,,71,60,,0,344,0,,,,0,,0,,,,,,,,,,,,,,,,216,,,,,,,,,0,,,
